"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","(ticker)"
"2416","NTLA",2022-03-04 16:00:03,"Intellia Therapeutics, Inc.",64.5,4856692736,-3.779,NA,4.6570244,74672400,"USD","2021-12-31",123406000,2031000,769303000,420292000,100111000,NA,NA,4758000,NA,1294464000,63759000,63476000,NA,125833000,254220000,7000,-703001000,-2632000,1745870000,-2632000,1040244000,1040244000,NA,9653000,NA,NA,625282000,NA,NA,"NTLA"
"2417","NTNX",2022-03-04 16:00:03,"Nutanix, Inc.",24.77,5426845184,-4.759,NA,-7.5422196,216987008,"USD","2021-10-31",350985000,124628000,1552395000,NA,221261000,185260000,27885000,267765000,NA,2254566000,698703000,703105000,NA,904787000,2953305000,5000,-3990340000,-659000,3292255000,-659000,-698739000,-911884000,123157000,43184000,239177000,NA,925116000,NA,1261656000,"NTNX"
"2418","NTRA",2022-03-04 16:00:02,"Natera, Inc.",59.6,5392196096,-5.21,NA,8.224843,95470896,"USD","2021-09-30",95103000,110416000,1191223000,NA,106949000,NA,NA,13202000,NA,1311374000,30503000,24170000,NA,199714000,552357000,10000,-1254272000,1491000,2011788000,1491000,759017000,759017000,228000,14694000,NA,NA,928596000,28022000,280085000,"NTRA"
"2419","NTRB",2022-03-04 16:00:02,"Nutriband Inc.",3.78,29230090,-0.737,NA,2.0335317,7773960,"USD","2021-10-31",5485344,146411,5948512,NA,989997,7529875,959367,NA,NA,15427751,239582,NA,NA,1004275,1108876,7744,-14242806,66596,28487341,66596,14318875,5829633,NA,644543,NA,14119,NA,124937,104601,"NTRB"
"2420","NTRS",2022-03-04 16:00:03,"Northern Trust Corporation",107.7,22342797312,7.14,15.051821,2.0057857,207898000,"USD","2021-09-30",4194700000,1085400000,64148200000,59002300000,493600000,705500000,1728300000,43007800000,NA,169085700000,1.7e+07,4665100000,NA,148555600000,157186900000,408600000,12862400000,-3192100000,9.35e+08,1.14e+08,11013900000,8580100000,52214800000,141924600000,NA,NA,4588200000,2e+05,3966200000,"NTRS"
"2421","NTRSO",2022-03-04 16:00:04,"Northern Trust Corporation - De",27.33,NA,7.14,3.452381,0.4600597,NA,"USD","2021-09-30",4194700000,1085400000,64148200000,59002300000,493600000,705500000,1728300000,43007800000,NA,169085700000,1.7e+07,4665100000,NA,148555600000,157186900000,408600000,12862400000,-3192100000,9.35e+08,1.14e+08,11013900000,8580100000,52214800000,141924600000,NA,NA,4588200000,2e+05,3966200000,"NTRSO"
"2422","NTUS",2022-03-04 16:00:02,"Natus Medical Incorporated",26.73,921107520,0.39,68.64103,2.1356204,34408200,"USD","2021-09-30",68779000,97370000,261671000,NA,32783000,149293000,73602000,43902000,26296000,561251000,30250000,27558000,NA,103801000,138729000,350457000,82742000,-10677000,NA,-10677000,422522000,199627000,NA,28322000,NA,NA,NA,71545000,NA,"NTUS"
"2423","NTWK",2022-03-04 16:00:03,"NETSOL Technologies Inc.",4.08,44313180,0.251,15.697212,0.8345689,11247000,"USD","2021-09-30",26999876,22314875,52145259,2995104,12019322,9516568,3183317,1029094,NA,80888664,4192251,NA,6438841,21009866,21845060,121836,-38613313,-37934742,129030982,-34013886,52604763,39904878,970817,939871,NA,1010031,NA,NA,356799,"NTWK"
"2424","NUAN",2022-03-03 16:00:03,"Nuance Communications, Inc.",56,17882421248,-0.327,NA,11.334008,319385984,"USD","2021-09-30",187307000,234892000,603545000,NA,229326000,2155270000,128331000,270181000,45927000,3386653000,246060000,243155000,NA,928349000,1751719000,319000,-298942000,-121437000,2054994000,-104649000,1634934000,-648667000,85912000,90120000,121400000,372999000,22168000,NA,494925000,"NUAN"
"2425","NURO",2022-03-04 16:00:02,"NeuroMetrix, Inc.",4.2,28318574,-0.446,NA,1.1654677,6992240,"USD","2021-09-30",23213537,639766,25560390,NA,703986,NA,NA,29293,NA,26293669,79100,NA,NA,1736489,2065658,665,-198160256,NA,222387601,NA,24228010,24228010,NA,316969,NA,NA,NA,996951,NA,"NURO"
"2426","NUVA",2022-03-04 16:00:03,"NuVasive, Inc.",55.85,2887680256,-1.242,NA,3.631274,51769100,"USD","2021-09-30",234578000,199366000,770361000,NA,406785000,633121000,256416000,67350000,48851000,2134033000,9198000,117180000,NA,195362000,1309837000,63000,82444000,-683553000,1425242000,-7309000,824196000,-65341000,5623000,109296000,NA,NA,NA,311414000,883180000,"NUVA"
"2427","NUVL",2022-03-04 16:00:02,"Nuvalent, Inc.",17.7,729088448,-3.422,NA,2.4210358,42848700,"USD","2021-09-30",245886000,NA,305139000,NA,NA,NA,NA,2834000,NA,307973000,NA,NA,NA,6842000,6842000,5000,-60934000,-23000,362083000,-23000,301131000,301131000,NA,2532000,NA,NA,56543000,NA,NA,"NUVL"
"2428","NUWE",2022-03-04 16:00:02,"Nuwellis, Inc.",0.9494,9799968,-2.868,NA,0.3777417,10537600,"USD","2021-09-30",28431000,1069000,32725000,NA,1370000,NA,NA,NA,NA,34095000,38000,286000,NA,3795000,4114000,1000,-248562000,-10000,278552000,-10000,29981000,29981000,NA,1851000,NA,NA,NA,2805000,NA,"NUWE"
"2429","NUZE",2022-03-04 16:00:02,"NuZee, Inc.",2.15,39150856,-0.897,NA,3.1851852,18209700,"USD","2021-09-30",10815954,555238,12408944,175425,1078611,NA,NA,79822,NA,13742802,314453,65802,NA,1153634,1530355,178,-52824808,197823,64839254,197823,12212447,12212447,NA,342790,NA,43618,NA,573464,12696,"NUZE"
"2430","NVAX",2022-03-04 16:00:03,"Novavax, Inc.",72.48,5471016960,-23.438,NA,-15.466897,76283000,"USD","2021-09-30",1936998000,109961000,2174181000,NA,214751000,131989000,5027000,39993000,NA,2565941000,1262360000,NA,NA,1753415000,2104605000,760000,-2771666000,-78271000,3310513000,861000,461336000,324320000,8175000,59564000,NA,NA,NA,NA,323102000,"NVAX"
