"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","(ticker)"
"5721","ROK",2022-03-04 16:03:43,"Rockwell Automation, Inc.",270.2,31263694848,8.57,31.395567,12.480749,116196000,"USD","2021-09-30",662200000,1424500000,3063400000,1363500000,959600000,3625900000,1021800000,667400000,380900000,10701600000,1011600000,1227200000,304500000,2992200000,8007500000,181400000,8000400000,-7725800000,1933600000,-1017100000,2389600000,-2258100000,1.78e+08,889800000,NA,NA,6e+05,798100000,3464600000,"ROK"
"5722","ROL",2022-03-04 16:00:01,"Rollins, Inc.",34.11,16735844352,0.71,47.90141,15.45909,492086016,"USD","2021-09-30",117655000,180160000,373454000,NA,382923000,665645000,402538000,80253000,2568000,1904813000,212478000,99057000,NA,477496000,803184000,492049000,524561000,-17465000,102484000,-17465000,1101629000,33446000,48663000,38509000,NA,18750000,NA,26976000,49250000,"ROL"
"5723","RONI",2022-03-04 16:00:01,"Rice Acquisition Corp. II",9.81,338469536,NA,NA,-10.491979,34502500,"USD","2021-09-30",2809000,NA,3691044,NA,NA,NA,NA,345035643,NA,348726687,NA,388876010,-461355,631868,389507878,863,-40320699,NA,NA,NA,-40319836,-40319836,NA,1300,NA,NA,NA,NA,NA,"RONI"
"5724","ROP",2022-03-04 16:03:04,"Roper Technologies, Inc.",679,48005009408,10.826,41.98965,4.147287,105603000,"USD","2021-09-30",352500000,878500000,2375200000,NA,105600000,13989200000,6745900000,512200000,103600000,23728100000,1.22e+09,1994800000,NA,2861100000,12385800000,1100000,9233200000,-168200000,2276200000,-150500000,11342300000,-9392800000,969800000,146900000,NA,799200000,NA,174400000,7529900000,"ROP"
"5725","ROSS",2022-03-04 16:00:01,"Ross Acquisition Corp II",9.8,421331264,NA,NA,-15.33752,34500000,"USD","2021-09-30",1606521,NA,1626037,NA,NA,NA,NA,345048770,NA,346674807,NA,372590670,NA,1574973,374165643,863,-27491699,NA,NA,NA,-27490836,-27490836,NA,925790,NA,NA,NA,NA,NA,"ROSS"
"5726","RPM",2022-03-04 16:00:01,"RPM International Inc.",90.87,10553032704,3.499,23.258072,5.7475805,129676000,"USD","2021-08-31",213212000,1217224000,2712696000,NA,1249702000,1349137000,626244000,228425000,26671000,6166204000,61419000,523987000,2144000,1163622000,4375484000,1297000,1937940000,-1211822000,1061161000,-540508000,1788576000,-186805000,6524000,647568000,NA,5179000,NA,997255000,2431214000,"RPM"
"5727","RPT",2022-03-04 16:00:01,"RPT Realty",16.25,1166786944,0.75,17.973333,1.441557,84801904,"USD","2021-09-30",7174000,23876000,33551000,216400000,1543319000,NA,66913000,119507000,NA,1979690000,11957000,43125000,19630000,62027000,1073481000,834000,NA,-425585000,1218903000,-425585000,794152000,727239000,2501000,49603000,NA,NA,NA,NA,950391000,"RPT"
"5728","RQI",2022-03-04 16:00:01,"Cohen & Steers Quality Income R",17.1,2170709504,5.023,3.2191918,1.0149385,134243008,"USD","2021-06-30",127509,12439771,26352727,1410044453,NA,NA,NA,1380076397,NA,2816473577,1712604,331896,NA,4912590,677744486,1280618223,858110868,NA,NA,NA,2138729091,2138729091,13785447,NA,NA,NA,NA,NA,672500000,"RQI"
"5729","RRAC",2022-03-03 16:00:01,"Rigel Resource Acquisition Corp",9.92,3.72e+08,NA,NA,-4960,3e+07,"USD","2021-05-14",25000,NA,25000,NA,NA,NA,NA,75808,NA,100808,101150,NA,NA,101150,101150,719,-25342,NA,24281,NA,-342,-342,NA,NA,75808,NA,NA,NA,NA,"RRAC"
"5730","RRC",2022-03-04 16:00:01,"Range Resources Corporation",26.73,6941625856,1.61,16.447205,3.137441,262146000,"USD","2021-09-30",478000,366695000,412355000,NA,5787932000,NA,NA,103902000,NA,6304189000,784035000,718268000,NA,1646327000,5122905000,2598000,-4498421000,-30275000,5707382000,-268000,1181284000,1181284000,45182000,151919000,NA,217909000,NA,NA,2730471000,"RRC"
"5731","RRX",2022-03-04 16:00:01,"Regal Rexnord Corporation",161.42,10498083840,4.4,35.324997,1.6523328,67542200,"USD","2021-10-02",328600000,560900000,1836500000,1800000,585500000,1506200000,4.92e+08,6.3e+07,44200000,4.485e+09,1.8e+07,286400000,32900000,768900000,1757300000,4e+05,2186400000,-193700000,701700000,-193700000,2694800000,696600000,29700000,512700000,NA,9e+05,NA,808200000,644300000,"RRX"
"5732","RS",2022-03-04 16:00:01,"Reliance Steel & Aluminum Co.",188.24,11653530624,21.97,8.596268,1.9178083,61704600,"USD","2021-09-30",638400000,1693500000,4.284e+09,NA,2002400000,1935300000,919500000,111200000,NA,9252400000,36500000,584100000,7200000,1007100000,3384500000,1e+05,5943500000,-82900000,NA,-82900000,5860700000,3005900000,NA,519400000,NA,4900000,NA,1877800000,1641400000,"RS"
"5733","RSG",2022-03-04 16:00:01,"Republic Services, Inc.",130.62,41126539264,4.04,32.17079,4.591444,316431008,"USD","2021-09-30",40100000,1342400000,1569400000,157600000,9182900000,12736300000,228100000,554600000,NA,24428900000,527600000,3673400000,5600000,2333400000,1.555e+10,3200000,6309400000,-240300000,2.801e+09,-9600000,8873300000,-4091100000,19200000,8.15e+08,123400000,8e+06,NA,68200000,9068800000,"RSG"
"5734","RSI",2022-03-04 16:00:02,"Rush Street Interactive, Inc.",8.15,1763750912,-0.51,NA,5.1837525,60669600,"USD","2021-09-30",346632000,34072000,397333000,NA,5886000,NA,14412000,3418000,NA,421049000,20613000,3899000,248388000,75981000,80821000,22000,-70976000,-1017000,163811000,-167000,91840000,77428000,13654000,9917000,NA,NA,NA,NA,NA,"RSI"
"5735","RSKD",2022-03-04 16:00:02,"Riskified Ltd.",6.7,1079667840,-2.34,NA,2.0372095,77888096,"USD","2021-12-31",418143000,35477000,565074000,NA,16968000,NA,NA,18592000,NA,600634000,24132000,9359000,NA,62414000,71773000,NA,-246564000,176000,775249000,176000,528861000,528861000,6984000,228000,11630000,NA,85132000,NA,NA,"RSKD"
"5736","RTX",2022-03-04 16:00:02,"Raytheon Technologies Corporati",99.63,148621131776,2.558,38.93276,2.0255044,1492329984,"USD","2021-09-30",7.476e+09,2.0437e+10,4.1992e+10,NA,1.6393e+10,5.3789e+10,3.8842e+10,4.796e+09,NA,1.58772e+11,1.2776e+10,1.9363e+10,1.661e+09,3.4131e+10,8.5803e+10,3.7343e+10,5.0343e+10,-1.6378e+10,NA,-3.98e+09,7.1308e+10,-2.1323e+10,4.653e+09,8.667e+09,NA,2.74e+08,NA,9.426e+09,3.0668e+10,"RTX"
"5737","RVI",2022-03-04 16:00:02,"Retail Value Inc.",3.37,71587312,-0.84,NA,1.0683895,21117200,"USD","2021-09-30",460949000,10960000,714063000,NA,68410000,NA,3089000,394000,NA,785956000,4698000,6876000,NA,15255000,22131000,2112000,NA,-168804000,740517000,-168791000,573825000,570736000,242154000,10557000,194000,NA,NA,NA,NA,"RVI"
"5738","RVLV",2022-03-04 16:00:02,"Revolve Group, Inc.",44,3223303424,1.34,32.83582,10.16401,40300000,"USD","2021-09-30",221605000,17158000,419846000,NA,9631000,2042000,1218000,16574000,13814000,449311000,73525000,NA,NA,166176000,166176000,73000,183912000,NA,99150000,NA,283135000,279875000,23692000,54913000,NA,NA,NA,153986000,NA,"RVLV"
"5739","RVT",2022-03-04 16:00:01,"Royce Value Trust, Inc.",17.63,1795835648,7.635,2.2200394,0.8080279,105949000,"USD","2021-06-30",86083,8241710,83157209,2153314499,NA,NA,NA,11397297,NA,2247869005,NA,NA,NA,81047383,81047383,1275740569,891081053,NA,NA,NA,2166821622,2166821622,74000559,8938917,NA,NA,NA,NA,NA,"RVT"
"5740","RWT",2022-03-04 16:00:01,"Redwood Trust, Inc.",10.82,1235337344,2.373,4.3320694,0.852122,120169000,"USD","2021-09-30",556989000,9505806000,12333553000,440191000,23003000,NA,57635000,218332000,20153000,13072714000,63418000,69420000,NA,1929226000,11696891000,1147000,-939519000,1923000,2312272000,1923000,1375823000,1330577000,2066645000,NA,NA,183800000,NA,NA,9683402000,"RWT"
"5741","RY",2022-03-04 16:00:01,"Royal Bank Of Canada",109.02,154523582464,8.833,12.306124,1.6293432,1416620032,"USD","2021-10-31",1.11846e+11,1.3342e+10,8.061e+11,1.46138e+11,7.424e+09,1.0854e+10,4.471e+09,7.31336e+11,2.011e+09,1.706323e+12,8.1318e+10,2.934e+10,9.5e+07,1.472263e+12,1.607561e+12,1.7728e+10,7.1795e+10,2.46e+09,NA,2.533e+09,9.1983e+10,7.6658e+10,1.08196e+11,1.102698e+12,NA,2.61721e+11,3.87541e+11,NA,1.01512e+11,"RY"
"5742","RYAM",2022-03-04 16:00:02,"Rayonier Advanced Materials Inc",6.6,398364992,1.037,6.0270014,0.48939002,63737400,"USD","2021-12-31",2.53e+08,NA,7.76e+08,NA,1.146e+09,NA,NA,5.23e+08,NA,2.445e+09,3.17e+08,3.85e+08,NA,3.55e+08,1.631e+09,8.14e+08,NA,NA,NA,NA,8.14e+08,8.14e+08,5.23e+08,NA,NA,3.8e+07,NA,NA,8.91e+08,"RYAM"
"5743","RYAN",2022-03-04 16:00:01,"Ryan Specialty Group Holdings, ",40.57,4448913920,0.468,86.49573,14.228471,109904000,"USD","2021-09-30",413695000,172921000,2530919000,47087000,95329000,1223957000,527804000,433360000,395805000,4858456000,1930685000,288155000,242389000,2360665000,4287158000,259000,-17115000,1760000,327805000,1760000,312709000,-1439052000,1916585000,48477000,NA,NA,NA,NA,1568344000,"RYAN"
"5744","RYB",2022-03-04 16:00:02,"RYB Education, Inc.",1.39,35862188,0.396,3.282828,0.56058645,27586300,"USD","2021-09-30",77746000,2431000,95605000,212000,116725000,46458000,13038000,36275000,22855000,308313000,71982000,17883000,15312000,145800000,226992000,29000,-65048000,-10583000,141611000,-1541000,66009000,6513000,NA,NA,NA,NA,NA,6501000,NA,"RYB"
"5745","RYI",2022-03-04 16:00:02,"Ryerson Holding Corporation",32.01,1222087424,7.56,4.2103176,2.2748713,38394200,"USD","2021-09-30",39900000,717800000,1694500000,NA,570900000,124400000,43900000,6300000,NA,2.44e+09,7.2e+07,279700000,7200000,893200000,2011700000,4e+05,218600000,-185300000,387400000,-177800000,421100000,252800000,27700000,612400000,6300000,29200000,NA,855800000,645700000,"RYI"
"5746","RYN",2022-03-04 16:00:01,"Rayonier Inc. REIT",40.84,6006874112,1.081,37.372807,3.3131049,145368992,"USD","2021-09-30",431806000,42352000,619930000,11206000,2925154000,NA,NA,150124000,NA,3706414000,116594000,113744000,222622000,368235000,1773399000,1296877000,450076000,-36560000,NA,-36560000,1710393000,1710393000,127180000,27989000,NA,199887000,NA,18592000,1192145000,"RYN"
"5747","RZA",2022-03-04 16:00:02,"Reinsurance Group of America, I",26.55,8948410368,12.195,2.0721607,0.14809129,62774700,"USD","2019-06-30",2287526000,2944820000,6886827000,47990513000,NA,NA,3440339000,13726137000,NA,72043816000,934462000,49714389000,NA,7603705000,61334805000,791000,7549737000,1238339000,1920144000,2642113000,10709011000,10709011000,1434395000,6649298000,NA,19945000,158788000,NA,4016711000,"RZA"
"5748","S",2022-03-04 16:00:01,"SentinelOne, Inc.",36.85,9806310400,-2.03,NA,5.8345246,134524000,"USD","2021-10-31",1664866000,68913000,1772894000,NA,48023000,108193000,16376000,35508000,NA,1980994000,139393000,71590000,NA,205212000,302048000,17000,-549964000,455000,2228438000,455000,1678946000,1554377000,20884000,7486000,30107000,NA,378000,NA,NA,"S"
"5749","SA",2022-03-04 16:00:01,"Seabridge Gold, Inc.",18.15,1419362304,-0.042,NA,2.0504124,78244896,"USD","2021-09-30",10589000,3361000,64016000,2471000,643260000,NA,NA,23678000,NA,733425000,14132000,25559000,NA,22420000,48181000,778433000,-141437000,12122000,36126000,12122000,685244000,685244000,NA,8199000,NA,NA,47587000,NA,NA,"SA"
"5750","SAFE",2022-03-04 16:00:02,"Safehold Inc.",59.2,3219528192,1.35,42.059258,1.9110123,56701800,"USD","2021-09-30",43870000,2602737000,2678055000,171532000,741850000,NA,222606000,10939000,NA,3824982000,11574000,65638000,2679000,56855000,2156325000,566000,48455000,-42015000,1658972000,-42015000,1665978000,1443372000,31448000,7534000,7716000,NA,NA,NA,2028195000,"SAFE"
"5751","SAH",2022-03-04 16:00:02,"Sonic Automotive, Inc.",58,2061848704,8.06,6.361042,1.9396209,28186100,"USD","2021-09-30",220082000,278008000,1471963000,NA,1629928000,237575000,77500000,88997000,NA,3505963000,NA,96420000,NA,1428402000,2500214000,786000,960238000,-741533000,786258000,-2807000,1005749000,690674000,23404000,105181000,NA,53383000,1e+08,850469000,637774000,"SAH"
"5752","SAIC",2022-03-04 16:03:25,"SCIENCE APPLICATIONS INTERNATIO",94.8,5233484288,5.057,18.174807,3.2042255,56941400,"USD","2021-10-29",1.48e+08,1.107e+09,1.383e+09,3.1e+07,3.26e+08,2.905e+09,1.166e+09,1.05e+08,NA,5.916e+09,9.8e+07,2.41e+08,1e+07,1.395e+09,4.271e+09,NA,7.96e+08,-5.7e+07,8.96e+08,-5.7e+07,1.635e+09,-2.436e+09,5e+06,7.05e+08,NA,1.93e+08,NA,1.23e+08,2.433e+09,"SAIC"
"5753","SAIL",2022-03-04 16:00:02,"SailPoint Technologies Holdings",50,4246268928,-0.67,NA,10.496405,93840200,"USD","2021-09-30",421847000,145204000,611797000,NA,42196000,289437000,77656000,61628000,NA,1082714000,182440000,23327000,NA,635464000,688556000,9000,-68574000,NA,462723000,NA,394158000,27065000,27403000,1376000,51375000,384744000,NA,NA,NA,"SAIL"
"5754","SAM",2022-03-04 16:00:02,"Boston Beer Company, Inc. (The)",404,4624067072,1.17,321.47864,4.652023,10225800,"USD","2021-09-25",86504000,124040000,431126000,NA,719859000,112529000,103740000,96272000,NA,1463526000,10400000,93711000,NA,285487000,434148000,123000,423645000,-243000,605853000,-243000,1029378000,813109000,NA,136462000,NA,NA,NA,196455000,NA,"SAM"
"5755","SAN",2022-03-04 16:00:02,"Banco Santander, S.A. Sponsored",2.97,51334983680,0.485,6.1030927,0.58096176,16804400128,"USD","2021-09-30",1.91035e+11,5.008e+09,3.64501e+11,1.49789e+11,3.1515e+10,1.2645e+10,3.601e+09,1.016244e+12,1.9536e+10,1.578295e+12,2.733e+10,5.7473e+10,1.0236e+10,1.180915e+12,1.482671e+12,8.67e+09,6.0945e+10,-3.2206e+10,4.7979e+10,-3.2177e+10,8.5388e+10,6.9142e+10,4.286e+09,1.090251e+12,NA,NA,NA,4e+06,2.44283e+11,"SAN"
"5756","SAND",2022-03-04 16:00:02,"Sandstorm Gold Ltd.",7.94,1521037440,0.14,56.642857,2.564683,191808000,"USD","2021-09-30",37650000,15754000,58741000,123560000,454383000,NA,NA,4236000,NA,640920000,NA,14773000,NA,6065000,23490000,703370000,31178000,-117118000,NA,-117118000,617430000,617430000,5337000,6065000,NA,NA,NA,NA,NA,"SAND"
"5757","SAP",2022-03-04 16:00:01,"SAP  SE",106.46,130051014656,4.958,21.399757,3.2212036,1179580032,"USD","2021-12-31",8.898e+09,6.759e+09,2.004e+10,6.279e+09,4.975e+09,3.1103e+10,3.966e+09,4.81e+09,1.778e+09,7.1173e+10,4.796e+09,2.458e+09,2.664e+09,1.605e+10,2.955e+10,1.229e+09,3.7334e+10,-1.522e+09,1.918e+09,1.55e+09,3.8959e+10,3.89e+09,1.625e+09,1.545e+09,NA,3.598e+09,2.758e+09,NA,1.1042e+10,"SAP"
"5758","SAR",2022-03-04 16:00:02,"Saratoga Investment Corp New",29.3,342599136,4.132,6.8514037,0.970684,12101700,"USD","2021-11-30",120881990,4931513,148999984,661793012,NA,NA,NA,920315,NA,811713311,2833988,1053564,NA,20262615,469111566,11747,21030809,NA,321559189,NA,342601745,342601745,23186481,1961075,NA,NA,NA,NA,447795387,"SAR"
"5759","SAVE",2022-03-04 16:00:02,"Spirit Airlines, Inc.",22.56,2423974400,-4.501,NA,1.1447915,108601000,"USD","2021-12-31",1333507000,166718000,1842491000,NA,5807113000,NA,NA,890421000,NA,8540025000,382317000,423214000,NA,1275602000,6425990000,11000,1058369000,-76171000,1131826000,-532000,2114035000,2114035000,108626000,44952000,330062000,208163000,106313000,NA,2975020000,"SAVE"
"5760","SB",2022-03-04 16:00:02,"Safe Bulkers, Inc",4.28,519407072,0.969,4.406605,0.84220904,121641000,"USD","2021-09-30",94500000,6180000,139817000,2771000,851549000,NA,NA,69671000,NA,1063808000,20018000,9254000,NA,66219000,447019000,122000,191402000,NA,425210000,NA,616734000,616734000,27315000,7500000,198000,34394000,1230000,7213000,371546000,"SB"
"5761","SBH",2022-03-04 16:00:02,"Sally Beauty Holdings, Inc. (Na",16.9,1862485888,2.2,7.690909,6.591352,110076000,"USD","2021-12-31",298140000,66156000,1415530000,133000,825528000,540287000,54316000,20148000,NA,2855942000,49236000,104881000,NA,681752000,2574921000,1100000,378313000,-98392000,NA,-98392000,281021000,-313582000,45396000,346302000,NA,NA,NA,1005838000,1381926000,"SBH"
"5762","SBI",2022-03-04 16:00:01,"Western Asset Intermediate Muni",9.27,127163168,0.445,20.292135,0.86726856,14082300,"USD","2021-11-30",NA,2321174,2321180,192678404,NA,NA,NA,2263129,NA,197262713,330934,NA,NA,1838155,50040906,14082,13437657,NA,133170066,NA,146621805,146621805,NA,854040,NA,NA,NA,NA,48202751,"SBI"
"5763","SBII",2022-03-04 09:54:25,"Sandbridge X2 Corp.",9.75,289980256,NA,NA,-16.260435,23817700,"USD","2021-09-30",703604,NA,1203100,NA,NA,NA,NA,238183585,NA,239386685,2211,256098366,NA,1108695,257207061,595,-17820971,NA,NA,NA,-17820376,-17820376,NA,NA,NA,NA,NA,NA,NA,"SBII"
"5764","SBOW",2022-03-04 16:00:02,"SilverBow Resorces, Inc.",28.03,460517952,6.42,4.313084,1.592386,16208600,"USD","2021-09-30",988000,44190000,49862000,NA,645551000,NA,NA,2922000,NA,698335000,148352000,27844000,NA,177726000,609019000,136000,-231942000,-2984000,324106000,NA,89316000,89316000,4684000,8423000,2800000,NA,NA,NA,393726000,"SBOW"
"5765","SBR",2022-03-04 16:00:02,"Sabine Royalty Trust",60.42,885692480,2.815,21.580816,127.09206,14579300,"USD","2021-09-30",8618047,NA,8618047,142235,NA,NA,NA,NA,NA,8760282,NA,1601373,NA,196585,1797958,6962324,NA,NA,NA,NA,6962324,6962324,NA,NA,NA,NA,NA,NA,NA,"SBR"
"5766","SBS",2022-03-04 16:00:01,"Companhia de saneamento Basico ",8.34,5707309056,0.728,11.469781,0.23289543,683510016,"USD","2021-09-30",2402028000,2586507000,7061474000,79243000,381295000,NA,35484722000,10069622000,NA,53076356000,1392547000,7796210000,NA,6137903000,28570587000,1.5e+10,9906771000,-401002000,NA,-401002000,24505769000,-10978953000,221348000,257195000,NA,3180672000,1745617000,105974000,14207657000,"SBS"
"5767","SBSW",2022-03-04 16:00:02,"D/B/A Sibanye-Stillwater Limite",20.22,14148209664,2.92,6.8869863,0.17663284,703540992,"USD","2021-06-30",2.6097e+10,8.286e+09,6.382e+10,7.502e+09,6.1548e+10,6.976e+09,NA,6.611e+09,6.84e+08,1.46457e+11,1.66e+09,2.8949e+10,1.325e+09,2.3348e+10,6.3118e+10,2.9218e+10,2.8063e+10,2.4733e+10,NA,2.4733e+10,8.2014e+10,7.5038e+10,NA,1.4844e+10,NA,6.548e+09,NA,2.9437e+10,1.0635e+10,"SBSW"
"5768","SCCO",2022-03-04 16:00:01,"Southern Copper Corporation",76.56,59218006016,4.394,17.432863,7.2668624,773081024,"USD","2021-12-31",3.002e+09,1446600000,6139600000,NA,10380700000,NA,138100000,1639200000,316200000,18297600000,832600000,749500000,58600000,2.25e+09,10089800000,3462900000,NA,4686300000,NA,7760300000,8149200000,8011100000,231200000,591900000,NA,299700000,486900000,972900000,6247900000,"SCCO"
"5769","SCD",2022-03-04 16:00:01,"LMP Capital and Income Fund Inc",15.07,251038144,3.882,3.6810923,0.8969933,17567400,"USD","2021-05-31",10002,640498,658692,335441828,NA,NA,NA,NA,NA,336100520,94437,NA,NA,58430179,58430179,17915,85072072,NA,192580354,NA,277670341,277670341,NA,NA,NA,NA,NA,NA,NA,"SCD"
"5770","SCHW",2022-03-04 16:00:01,"Charles Schwab Corporation (The",79.45,150054502400,2.83,27.996468,3.2392986,1814620032,"USD","2021-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7488e+10,2.6004e+10,NA,NA,NA,NA,NA,NA,NA,"SCHW"
"5771","SCI",2022-03-04 16:00:01,"Service Corporation Internation",61.99,9998960640,4.72,13.116526,5.2887406,161508000,"USD","2021-12-31",268626000,119686000,441060000,NA,2305843000,1915082000,471715000,10557478000,6171000,15691178000,3751000,9103986000,4000,728261000,13781729000,166822000,727021000,36506000,979096000,40214000,1909445000,-477352000,22230000,204094000,347448000,30794000,NA,25935000,3798679000,"SCI"
"5772","SCL",2022-03-04 16:00:02,"Stepan Company",130,2302871040,5.92,17.34966,2.1437218,22421100,"USD","2021-09-30",105268000,413576000,839213000,NA,870606000,98212000,62800000,85108000,NA,1955939000,NA,114768000,1721000,491065000,896922000,26753000,1124066000,-310538000,217015000,-156953000,1057296000,896284000,29435000,314459000,NA,37857000,NA,290934000,232184000,"SCL"
"5773","SCM",2022-03-04 16:00:02,"Stellus Capital Investment Corp",13.92,268952512,2.06,6.6893206,0.97412694,19517600,"USD","2021-09-30",37753618,3380134,41320073,785698750,NA,NA,NA,NA,NA,827018823,8639352,1477321,NA,19698587,551373854,19486,-401184,NA,276026667,NA,275644969,275644969,NA,NA,NA,NA,NA,NA,530197946,"SCM"
"5774","SCS",2022-03-04 16:00:02,"Steelcase Inc.",12.14,1332821504,0.1,118.9,1.5570979,87021696,"USD","2021-11-26",275200000,384300000,1003500000,50600000,617500000,242700000,89100000,315400000,119700000,2318800000,56200000,197500000,NA,5.91e+08,1462200000,NA,920200000,-63600000,NA,-63600000,856600000,524800000,22200000,257800000,NA,NA,NA,286100000,477900000,"SCS"
"5775","SCU",2022-03-04 16:00:02,"Sculptor Capital Management, In",11.92,318363488,-0.557,NA,-4.5218377,26508200,"USD","2021-09-30",143005000,63740000,221025000,619341000,117185000,22691000,NA,233807000,226103000,1214049000,20035000,338049000,436876000,273394000,834503000,581000,-265848000,146000,207791000,146000,-57330000,-80021000,1803000,NA,NA,NA,NA,NA,120167000,"SCU"
"5776","SCUA",2022-03-04 12:39:52,"Sculptor Acquisition Corp I",9.9,284050016,NA,NA,-823.3333,2.3e+07,"USD","2021-09-30",NA,NA,NA,NA,NA,NA,NA,537724,NA,537724,NA,NA,NA,595254,595254,575,-82530,NA,24425,NA,-57530,-57530,NA,67612,537724,NA,NA,NA,NA,"SCUA"
"5777","SCVX",2022-03-04 11:08:17,"SCVX Corp.",9.99,94943000,0.332,29.96988,-11.397479,3792010,"USD","2021-09-30",341458,NA,427370,NA,NA,NA,NA,230559215,NA,230986585,NA,253287215,NA,2801854,256089069,575,-25103059,NA,NA,NA,-25102484,-25102484,NA,1138285,NA,NA,NA,NA,NA,"SCVX"
"5778","SCX",2022-03-04 16:00:02,"L.S. Starrett Company (The)",7.36,48416368,1.781,4.070747,0.61717886,6644110,"USD","2021-12-31",9437000,34535000,122319000,NA,41623000,1015000,4761000,18601000,18601000,188319000,2e+05,37648000,NA,51814000,103134000,7252000,79941000,-58877000,56869000,-58877000,85185000,79409000,1e+05,15108000,NA,21969000,NA,63874000,9158000,"SCX"
"5779","SD",2022-03-04 16:00:02,"SandRidge Energy, Inc.",15.95,573955904,2.172,7.205341,2.7504392,36674500,"USD","2021-09-30",96738000,29365000,129726000,NA,183705000,NA,NA,358000,NA,313789000,26458000,38066000,NA,67606000,105672000,37000,-942816000,88520000,1062376000,88520000,208117000,208117000,2344000,15907000,NA,NA,NA,NA,NA,"SD"
"5780","SE",2022-03-04 16:00:02,"Sea Limited",98,54345990144,-3.842,NA,7.29123,557737984,"USD","2021-09-30",11126238000,1433660000,16003700000,334127000,1353290000,476662000,48723000,332222000,110980000,18548724000,3175802000,363444000,23275000,6420986000,10738192000,276000,-6577746000,-36234000,14400961000,-36234000,7787257000,7261872000,1365740000,232707000,NA,NA,706012000,128688000,3503456000,"SE"
"5781","SEAS",2022-03-04 16:00:02,"SeaWorld Entertainment, Inc.",66.85,4914934784,3.22,20.17702,438.98648,75649296,"USD","2021-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEAS"
"5782","SEE",2022-03-04 16:04:30,"Sealed Air Corporation",66.3,9802133504,3.322,19.915714,39.404408,148158000,"USD","2021-09-30",393700000,767300000,1970900000,46100000,1309500000,2213300000,157400000,462600000,172100000,6159800000,495900000,743600000,NA,1925400000,6032100000,23200000,2640100000,-4648600000,2.113e+09,-967600000,127700000,-2.243e+09,7700000,918300000,NA,476900000,NA,7.41e+08,3295200000,"SEE"
"5783","SEM",2022-03-04 16:00:02,"Select Medical Holdings Corpora",23.74,3174413312,2.985,7.9430485,2.8597271,133885000,"USD","2021-12-31",74310000,889303000,1139439000,NA,2040221000,3448912000,374879000,356720000,NA,7360171000,1026171000,249234000,39033000,1273077000,5995236000,1325902000,NA,NA,NA,NA,1325902000,-2497889000,175826000,NA,NA,17572000,NA,NA,3556385000,"SEM"
"5784","SEMR",2022-03-04 16:00:02,"SEMrush Holdings, Inc.",11.48,1598488320,-0.026,NA,7.086712,31841900,"USD","2021-09-30",188510000,2139000,203127000,499000,8391000,1991000,2111000,2674000,NA,218793000,36051000,369000,NA,65409000,68738000,1000,-35238000,NA,185292000,NA,150055000,145953000,5904000,5196000,2674000,NA,NA,NA,NA,"SEMR"
"5785","SES",2022-03-04 16:00:02,"SES AI Corporation",4.54,1530632448,-2.153,NA,-0.5651169,303990016,"USD","2021-09-30",30093000,1138000,182184000,NA,5656000,NA,1632000,8262000,NA,197734000,949000,672000,NA,6998000,7670000,NA,-81257000,181000,1199000,181000,-79877000,-81509000,NA,3637000,2679000,NA,1.5e+08,NA,NA,"SES"
"5786","SF",2022-03-04 16:00:02,"Stifel Financial Corporation",66.63,7116372480,6.66,10.040542,1.6064094,106421000,"USD","2021-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4106324000,2796286000,NA,NA,NA,NA,NA,NA,NA,"SF"
"5787","SFBS",2022-03-04 16:00:04,"ServisFirst Bancshares, Inc.",87.1,4750524416,3.82,22.913612,4.1219683,54273100,"USD","2021-09-30",234486000,NA,4481261000,984600000,79753000,NA,13705000,9042909000,31533000,14602228000,NA,25687000,5e+05,13379114000,13487935000,54000,869731000,18360000,225648000,18360000,1113793000,1100088000,4244393000,12078670000,NA,NA,NA,2068000,64701000,"SFBS"
"5788","SFE",2022-03-04 16:00:01,"Safeguard Scientifics, Inc. New",6.88,92431360,1.357,4.12675,1.188455,16505600,"USD","2021-09-30",64211000,NA,76371000,25492000,1622000,NA,NA,233000,NA,103718000,NA,50000,NA,3899000,5725000,2157000,-701001000,-9713000,806550000,-25000,97993000,97993000,25000,77000,NA,NA,10792000,NA,NA,"SFE"
