"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","minorityInterest","deferredLongTermLiab","(ticker)"
"138","FDX",2022-08-19 16:00:02,"FedEx Corporation",233.3,60228481024,14.33,16.170969,2.4144578,259908000,"USD","2022-05-31",6.897e+09,NA,1.1863e+10,6.37e+08,NA,2.0365e+10,NA,5.4704e+10,4.08e+09,8.5994e+10,4.03e+09,5e+07,NA,1.9746e+10,1.2112e+10,1.4274e+10,6.1055e+10,3.2e+07,3.2782e+10,-1.1587e+10,-1.103e+09,2.4939e+10,1.8094e+10,6.544e+09,3.01e+08,1.207e+09,3.712e+09,NA,NA,"FDX"
"139","GD",2022-08-19 16:00:02,"General Dynamics Corporation",242.53,66277036032,11.8,20.480509,3.8057668,274246016,"USD","2022-07-03",2.223e+09,NA,1.1032e+10,6.158e+09,1.166e+09,2.0579e+10,NA,5.479e+09,2.554e+09,5.0481e+10,3.138e+09,1.754e+09,7.988e+09,9.741e+09,7.259e+09,1.4736e+10,3.31e+10,4.82e+08,3.6218e+10,-2.2785e+10,-2.153e+09,1.7381e+10,-4.488e+09,2.0002e+10,1.867e+09,4.2e+07,3.466e+09,NA,NA,"GD"
"140","CNC",2022-08-19 16:03:13,"Centene Corporation",98.53,55386198016,3.2,30.28125,2.1420045,571580992,"USD","2022-06-30",1.3435e+10,1.794e+09,1.4144e+10,NA,3.033e+09,3.2406e+10,1.3671e+10,5.277e+09,1.725e+09,8.106e+10,2.8059e+10,3e+08,5.23e+08,1.8035e+10,3.687e+09,2.9086e+10,5.4497e+10,1e+06,8.816e+09,-2.427e+09,-9.13e+08,2.6289e+10,-1.692e+09,2.031e+10,7.671e+09,NA,1.9899e+10,2.74e+08,NA,"CNC"
"141","MPC",2022-08-19 16:00:02,"Marathon Petroleum Corporation",100.38,50086780928,14.44,6.9563713,1.9588915,498624000,"USD","2022-06-30",9.078e+09,4.241e+09,1.7305e+10,1.1048e+10,7.41e+08,4.2413e+10,5.508e+09,3.8338e+10,2.234e+09,9.6737e+10,2.2502e+10,1.087e+09,3.838e+09,2.5059e+10,8.065e+09,2.8437e+10,6.3068e+10,1e+07,1.8983e+10,-2.6065e+10,-6.5e+07,2.6306e+10,1.8062e+10,8.244e+09,NA,NA,3.3378e+10,7.363e+09,NA,"MPC"
"142","PXD",2022-08-19 16:00:01,"Pioneer Natural Resources Compa",242.36,57757417472,24.43,9.905853,2.4397128,238667008,"USD","2022-06-30",2.579e+09,6.73e+08,2.388e+09,6.06e+08,7.5e+07,6.321e+09,NA,3.0557e+10,1.8e+08,3.7301e+10,2.604e+09,1.117e+09,8.5e+08,4.576e+09,3.964e+09,4.749e+09,1.3511e+10,2e+06,5.63e+09,-1.022e+09,NA,2.379e+10,2.3547e+10,2.43e+08,NA,NA,1.918e+10,NA,NA,"PXD"
"143","PSA",2022-08-19 16:00:02,"Public Storage",360.9,61826666496,11.74,29.917377,10.981772,175542000,"USD","2022-06-30",1013886000,NA,NA,NA,27502000,1041388000,845894000,15545495000,180330000,17862851000,NA,499901000,NA,6841003000,NA,973500000,7814503000,17524000,-182213000,-79217000,-79217000,5604726000,5354982000,165843000,83901000,NA,5848632000,93622000,NA,"PSA"
"144","EMR",2022-08-19 16:03:38,"Emerson Electric Company",89.09,52436480000,5.28,16.795454,5.122163,591299968,"USD","2022-06-30",2.529e+09,NA,3.805e+09,2.319e+09,7.22e+08,9.375e+09,NA,3.89e+09,2.099e+09,3.7042e+10,2.04e+09,NA,1.005e+09,8.367e+09,3.192e+09,8.812e+09,2.0755e+10,4.77e+08,2.7618e+10,-1.7822e+10,-1.152e+09,1.0315e+10,-1.1363e+10,1.4748e+10,6.93e+09,9.8e+07,4.2e+07,5.972e+09,NA,"EMR"
"145","AEP",2022-08-19 16:00:04,"American Electric Power Company",104.94,53911248896,5.07,20.698225,2.2408712,513734016,"USD","2022-06-30",575300000,1.92e+08,2446900000,1102300000,4769900000,9.371e+09,NA,69338800000,1.2099e+10,90861300000,2198200000,2476700000,5253600000,32982700000,2.0584e+10,1.2448e+10,66564300000,3.412e+09,12108600000,551400000,551400000,2.4056e+10,24003500000,52500000,NA,NA,7.984e+09,2.41e+08,8139800000,"AEP"
"146","MCK",2022-08-19 16:03:06,"McKesson Corporation",375,53325266944,9.42,39.38535,-26.658764,143730000,"USD","2022-06-30",2.233e+09,NA,1.99e+10,1.9505e+10,3.259e+09,4.5383e+10,NA,3.681e+09,1.887e+09,6.2295e+10,3.9708e+10,7.99e+08,2.324e+09,4.976e+09,1.0226e+10,4.7201e+10,6.3767e+10,3e+06,9.732e+09,-1.9089e+10,-9.48e+08,-2.004e+09,-1.3348e+10,9.368e+09,1.976e+09,NA,7.35e+09,5.32e+08,NA,"MCK"
"147","SRE",2022-08-19 16:04:10,"DBA Sempra",170.56,53451558912,3.47,49.008644,2.0575922,314310016,"USD","2022-06-30",1.931e+09,NA,2.881e+09,3.77e+08,5.4e+08,5.902e+09,1.512e+10,4.5982e+10,6.619e+09,7.5582e+10,1.604e+09,4.2e+08,4.237e+09,2.3609e+10,1.4036e+10,7.55e+09,4.6529e+10,1.2121e+10,1.3998e+10,-1.67e+08,-1.67e+08,2.5952e+10,2.3993e+10,1.602e+09,3.57e+08,1.38e+08,NA,2.212e+09,2.465e+09,"SRE"
